Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 10,Day 14,Day 18,Day 21
3.34,6.53,6.48,6.20,7.97,6.70,7.80,8.85,5.67,8.06,6.17,6.99
3.43,6.95,7.20,6.85,7.86,8.40,8.22,8.08,6.89,8.98,9.93,7.83
3.62,7.63,7.37,7.01,7.71,6.37,7.19,8.00,7.70,8.30,6.88,7.43
2.90,5.17,4.49,6.62,6.40,6.95,6.13,6.54,6.63,7.16,7.55,5.92
2.83,4.73,5.55,5.35,6.84,5.61,4.73,5.19,5.83,7.28,6.09,6.34
2.79,5.74,5.85,6.29,7.61,6.90,8.01,7.87,6.05,8.56,7.46,6.30
2.74,5.94,6.85,6.72,6.68,7.36,8.59,4.92,6.73,4.95,5.24,7.06
2.64,6.13,5.14,7.83,6.39,5.09,6.89,7.40,6.15,6.48,6.40,9.81
2.75,5.22,6.26,5.69,5.67,6.69,7.06,5.58,6.07,6.73,8.59,6.31
2.62,5.11,8.49,5.50,4.76,5.50,6.37,6.89,7.95,4.92,5.89,5.24
2.81,7.32,7.26,8.07,7.65,6.95,7.84,7.24,5.20,5.27,6.76,6.12
3.39,6.04,5.96,8.79,6.50,5.48,7.73,5.07,7.07,6.09,12.38,8.95
3.84,7.84,8.23,9.51,8.39,8.85,12.22,8.00,7.21,7.74,7.73,9.70
3.46,5.90,6.54,7.65,8.64,7.79,9.25,10.63,10.31,9.23,6.79,8.19
2.59,5.45,6.36,8.84,6.82,7.78,8.53,8.30,7.79,10.07,7.03,7.67
3.93,7.42,8.69,9.81,9.42,10.77,5.97,7.51,7.02,6.97,9.50,10.65
4.31,6.93,9.08,8.28,8.77,6.84,8.89,10.79,7.71,6.77,9.82,7.14
2.87,6.50,7.92,7.72,9.93,4.45,5.09,8.00,8.02,8.35,4.97,7.56
2.81,7.24,12.44,10.76,7.64,9.51,7.06,5.97,8.47,6.76,7.18,9.15
2.87,7.71,7.39,6.29,9.04,7.19,9.67,6.38,7.61,8.57,9.53,5.47
3.93,7.31,6.44,7.40,9.73,8.88,4.92,6.60,4.66,7.00,6.00,9.54
2.87,5.07,5.26,7.53,8.39,9.38,7.98,6.40,8.44,4.71,5.65,7.59
4.01,6.40,7.71,9.05,8.18,6.67,11.41,10.12,8.73,7.07,5.04,6.92
3.79,5.75,7.56,3.86,5.26,5.78,5.44,5.83,3.68,6.62,7.20,3.47
2.49,4.19,5.53,7.11,5.15,6.20,5.06,5.21,4.83,5.09,5.71,8.40
3.59,4.63,6.31,6.22,4.59,7.62,8.34,11.21,11.62,11.62,15.48,8.58
2.72,3.25,2.21,3.43,5.04,3.89,3.90,4.18,2.65,4.58,7.55,2.44
4.38,7.85,7.58,11.35,9.65,9.43,11.06,9.60,6.64,6.93,7.59,7.95
4.12,9.25,8.25,13.26,10.29,6.54,7.73,14.93,6.56,7.21,7.48,10.92
2.41,5.45,6.61,7.41,9.42,7.50,11.19,6.14,15.96,8.19,8.71,5.91
1.98,3.84,6.37,5.88,9.37,4.00,3.52,3.63,5.13,2.93,4.48,8.93
3.81,7.78,7.13,7.61,7.89,9.41,10.52,11.72,8.85,12.91,8.52,16.33
2.62,3.98,6.57,8.09,9.75,9.84,7.41,9.07,5.73,3.10,4.92,3.46
2.76,5.10,6.41,6.02,4.93,6.78,6.46,8.04,7.46,6.32,3.75,5.96
2.89,4.42,7.53,7.00,4.45,5.20,3.76,4.73,3.93,4.95,4.89,7.07
1.96,6.90,4.37,4.82,7.18,6.36,8.48,8.27,9.36,9.52,12.22,7.21
2.79,6.26,5.40,6.54,4.98,4.38,9.84,5.46,7.76,7.35,7.93,5.77
2.45,4.68,5.88,5.78,8.98,5.50,11.04,8.56,5.10,9.90,9.38,5.27
2.72,6.86,6.47,6.10,7.88,6.59,5.88,8.94,4.97,4.55,6.70,3.63
1.98,5.15,2.53,3.32,5.82,4.65,5.04,3.37,3.75,3.69,7.67,6.15
2.22,4.71,3.53,4.62,2.75,5.54,3.91,4.60,2.57,3.60,3.15,2.92
3.07,5.23,4.15,3.95,4.95,4.86,6.59,6.23,11.06,4.00,7.53,8.00
3.66,11.87,6.20,5.69,8.18,6.41,11.93,8.47,6.33,4.50,7.17,5.32
2.63,8.31,5.96,6.84,7.56,8.76,8.24,7.19,5.32,7.53,4.80,6.83
3.56,6.74,15.22,11.76,8.02,8.40,9.40,11.76,7.17,8.75,11.93,6.00
2.18,4.01,5.58,9.42,10.27,7.74,8.43,14.15,8.77,5.33,12.17,4.82
2.70,6.03,8.34,9.02,10.73,12.32,7.24,9.17,9.57,6.44,7.50,7.41
3.26,9.10,7.15,7.87,10.97,10.58,11.13,7.14,6.67,9.17,9.33,7.28
2.32,2.87,2.71,2.97,2.92,3.10,2.38,2.60,3.43,4.00,1.46,3.46
2.04,4.67,3.86,3.27,3.91,4.55,2.24,2.00,3.23,3.00,3.50,4.94
2.60,7.73,7.74,10.50,7.85,7.27,7.27,6.20,8.23,5.00,8.83,8.17
4.08,8.37,5.65,10.48,8.38,6.03,12.73,8.52,5.46,4.57,4.13,4.50
2.75,4.00,5.50,3.35,4.17,2.72,4.68,3.76,5.43,3.86,5.00,11.44
4.84,6.11,5.54,5.30,6.67,5.95,6.24,7.86,7.89,5.42,5.91,4.91
3.11,4.89,13.55,17.04,5.45,5.06,7.73,5.71,12.75,11.00,9.56,7.38
3.34,3.65,2.69,4.22,5.80,5.11,2.11,4.83,3.91,1.50,3.60,4.44
2.39,7.33,8.03,7.00,6.00,5.50,5.08,5.12,6.76,5.11,2.45,5.30
3.85,18.70,5.46,4.26,4.46,3.88,4.45,4.71,6.68,5.33,6.89,8.75
2.33,4.82,4.06,3.88,5.29,5.11,7.00,5.10,9.00,4.20,5.90,4.20
2.47,4.65,5.50,3.18,7.32,4.05,11.28,7.06,14.92,10.10,5.00,5.86
3.34,5.20,5.27,3.96,7.53,4.93,4.81,4.91,3.00,4.83,4.60,3.88
2.83,5.15,6.04,6.58,5.43,10.14,4.79,12.85,6.08,11.64,2.56,5.38
1.80,3.77,1.44,1.67,0.92,2.40,0.70,1.40,1.00,1.50,0.00,1.00
2.11,4.29,5.24,4.11,4.88,5.69,8.09,5.53,8.87,10.13,3.67,2.83
4.70,6.93,4.10,4.83,3.45,6.56,5.44,5.33,5.30,6.70,4.91,2.11
3.66,6.28,11.86,8.93,7.07,25.38,8.22,4.29,8.20,12.60,8.75,1.80
4.35,10.94,5.62,5.95,14.83,3.72,7.50,4.06,6.50,1.00,3.83,9.80
2.11,4.48,4.78,5.08,1.31,1.76,2.63,1.27,1.50,4.40,3.80,5.71
1.71,3.19,2.33,3.82,3.29,9.67,3.75,5.08,10.00,3.00,1.29,0.33
3.00,5.32,8.26,8.05,3.47,9.67,7.55,8.90,5.78,3.00,1.50,2.83
3.43,9.53,11.48,15.30,7.00,6.79,10.74,10.00,5.85,7.88,11.60,7.29
3.47,6.32,7.89,2.67,1.00,1.29,1.00,2.40,3.20,1.71,2.60,10.50
2.65,7.00,2.35,1.57,1.36,3.00,2.67,4.80,2.60,4.67,5.00,1.50
3.49,5.13,5.48,9.25,4.86,7.00,4.71,5.18,3.82,11.17,2.43,12.83
1.60,2.86,2.64,2.25,2.21,8.00,4.75,8.25,9.40,2.75,2.50,1.67
2.70,5.84,7.25,9.14,20.75,18.00,1.57,5.86,2.20,3.00,1.00,6.00
3.37,7.71,5.33,6.38,2.50,4.25,7.33,6.14,3.00,2.67,4.67,2.00
2.45,6.70,26.82,6.88,11.11,4.83,20.60,12.38,3.83,2.14,6.33,5.00
1.89,7.71,5.29,2.00,1.14,2.50,3.33,3.33,2.43,1.00,0.00,1.50
1.39,7.00,1.10,0.67,1.33,3.40,0.40,1.00,1.40,1.75,7.00,7.50
1.33,5.18,3.70,1.44,9.60,8.29,1.63,2.40,0.00,0.00,0.00,3.50
1.03,6.86,5.50,3.13,3.60,16.25,18.50,17.25,0.00,1.50,0.33,0.00
1.36,1.94,0.50,2.75,0.67,2.00,0.00,1.33,2.00,2.50,2.50,0.00
1.09,11.00,3.25,2.33,1.50,4.00,4.75,1.50,1.60,21.00,1.00,0.00
2.41,1.56,0.71,0.33,1.67,0.75,3.50,1.50,4.00,0.00,0.00,0.00
1.50,2.00,8.20,3.20,12.20,8.67,10.50,18.50,3.00,5.00,12.00,40.00
15.09,11.91,12.30,8.33,6.56,5.67,7.67,3.00,0.00,1.50,1.50,0.00
1.50,2.75,2.80,0.75,0.50,15.00,4.50,6.00,0.00,4.33,3.67,6.50
3.14,8.38,9.00,6.38,10.20,7.60,17.00,21.25,10.33,41.50,39.00,47.50
2.30,6.13,11.33,15.75,10.50,8.00,11.33,14.50,3.40,1.40,2.00,8.00
2.12,1.75,4.00,1.50,1.67,16.00,1.00,0.33,4.50,0.50,0.00,1.00
2.56,0.00,1.00,2.00,0.00,1.00,1.00,7.00,0.00,15.50,0.00,0.00